Type	Time	Value	Data center
rtb.requests	1443405960	44312.08056	dc=I
rtb.requests	1443406320	44205.93889	dc=I
rtb.requests	1443406680	45327.34167	dc=I
rtb.requests	1443407040	42326.825	dc=I
rtb.requests	1443407400	45276.75	dc=I
rtb.requests	1443407760	44743.23333	dc=I
rtb.requests	1443408120	43961.12222	dc=I
rtb.requests	1443408480	43511.37778	dc=I
rtb.requests	1443408840	42616.93611	dc=I
rtb.requests	1443409200	41545.24444	dc=I
rtb.requests	1443409560	40292.36111	dc=I
rtb.requests	1443409920	39917.13333	dc=I
rtb.requests	1443410280	38607.7	dc=I
rtb.requests	1443410640	38229.22778	dc=I
rtb.requests	1443411000	37424.44722	dc=I
rtb.requests	1443411360	35674.95278	dc=I
rtb.requests	1443411720	35323.75278	dc=I
rtb.requests	1443412080	33806.49444	dc=I
rtb.requests	1443412440	32478.20278	dc=I
rtb.requests	1443412800	31497.79167	dc=I
rtb.requests	1443413160	26841.96944	dc=I
rtb.requests	1443413520	26303.425	dc=I
rtb.requests	1443413880	25433.09444	dc=I
rtb.requests	1443414240	23758.82778	dc=I
rtb.requests	1443414600	23875.50278	dc=I
rtb.requests	1443414960	22108.69167	dc=I
rtb.requests	1443415320	20967.75833	dc=I
rtb.requests	1443415680	20145.71389	dc=I
rtb.requests	1443416040	19079.12222	dc=I
rtb.requests	1443416400	17762.23056	dc=I
rtb.requests	1443416760	16900.73056	dc=I
rtb.requests	1443417120	16221.08056	dc=I
rtb.requests	1443417480	16040.025	dc=I
rtb.requests	1443417840	15732.25	dc=I
rtb.requests	1443418200	14667.05833	dc=I
rtb.requests	1443418560	14278.36944	dc=I
rtb.requests	1443418920	13759.1	dc=I
rtb.requests	1443419280	12998.85556	dc=I
rtb.requests	1443419640	12494.15	dc=I
rtb.requests	1443420000	11753.82222	dc=I
rtb.requests	1443420360	11533.67778	dc=I
rtb.requests	1443420720	11107.64167	dc=I
rtb.requests	1443421080	10654.20556	dc=I
rtb.requests	1443421440	10378.25	dc=I
rtb.requests	1443421800	10016.14722	dc=I
rtb.requests	1443422160	9763.211111	dc=I
rtb.requests	1443422520	9389.480556	dc=I
rtb.requests	1443422880	8842.102778	dc=I
rtb.requests	1443423240	8657.172222	dc=I
rtb.requests	1443423600	7790.727778	dc=I
rtb.requests	1443423960	7635.322222	dc=I
rtb.requests	1443424320	7489.2	dc=I
rtb.requests	1443424680	7517.719444	dc=I
rtb.requests	1443425040	7713.466667	dc=I
rtb.requests	1443425400	7233.777778	dc=I
rtb.requests	1443425760	7158	dc=I
rtb.requests	1443426120	7100.65	dc=I
rtb.requests	1443426480	6705.608333	dc=I
rtb.requests	1443426840	6667.061111	dc=I
rtb.requests	1443427200	6456.902778	dc=I
rtb.requests	1443427560	6488.613889	dc=I
rtb.requests	1443427920	6487.661111	dc=I
rtb.requests	1443428280	6229.761111	dc=I
rtb.requests	1443428640	6241.438889	dc=I
rtb.requests	1443429000	6307.938889	dc=I
rtb.requests	1443429360	6168.413889	dc=I
rtb.requests	1443429720	6351.391667	dc=I
rtb.requests	1443430080	6374.35	dc=I
rtb.requests	1443430440	6400.283333	dc=I
rtb.requests	1443430800	6452.158333	dc=I
rtb.requests	1443431160	6747.261111	dc=I
rtb.requests	1443431520	7232.152778	dc=I
rtb.requests	1443431880	7179.191667	dc=I
rtb.requests	1443432240	7637.913889	dc=I
rtb.requests	1443432600	8141.580556	dc=I
rtb.requests	1443432960	8319.991667	dc=I
rtb.requests	1443433320	8665.780556	dc=I
rtb.requests	1443433680	8804.202778	dc=I
rtb.requests	1443434040	9292.097222	dc=I
rtb.requests	1443434400	9491.216667	dc=I
rtb.requests	1443434760	9607.769444	dc=I
rtb.requests	1443435120	10634.73889	dc=I
rtb.requests	1443435480	11373.95278	dc=I
rtb.requests	1443435840	11855.61389	dc=I
rtb.requests	1443436200	12166.15833	dc=I
rtb.requests	1443436560	12649.68056	dc=I
rtb.requests	1443436920	13629.81667	dc=I
rtb.requests	1443437280	14358.11944	dc=I
rtb.requests	1443437640	15379.4	dc=I
rtb.requests	1443438000	15961.33333	dc=I
rtb.requests	1443438360	16567.02778	dc=I
rtb.requests	1443438720	17087.64722	dc=I
rtb.requests	1443439080	18532.33889	dc=I
rtb.requests	1443439440	18922.58889	dc=I
rtb.requests	1443439800	20535.58889	dc=I
rtb.requests	1443440160	20993.48056	dc=I
rtb.requests	1443440520	22299.07778	dc=I
rtb.requests	1443440880	23455.54444	dc=I
rtb.requests	1443441240	23953.40278	dc=I
rtb.requests	1443441600	25235.54722	dc=I
rtb.requests	1443441960	25234.09167	dc=I
rtb.requests	1443442320	27080.51944	dc=I
rtb.requests	1443442680	27552.01944	dc=I
rtb.requests	1443443040	29901.475	dc=I
rtb.requests	1443443400	31902.81944	dc=I
rtb.requests	1443443760	31400.17222	dc=I
rtb.requests	1443444120	33637.76667	dc=I
rtb.requests	1443444480	34544.725	dc=I
rtb.requests	1443444840	36006.50833	dc=I
rtb.requests	1443445200	37803.41667	dc=I
rtb.requests	1443445560	37083.00278	dc=I
rtb.requests	1443445920	38082.83333	dc=I
rtb.requests	1443446280	40390.66944	dc=I
rtb.requests	1443446640	41118.13611	dc=I
rtb.requests	1443447000	43155.84167	dc=I
rtb.requests	1443447360	42913.58611	dc=I
rtb.requests	1443447720	44188.13056	dc=I
rtb.requests	1443448080	43854.95556	dc=I
rtb.requests	1443448440	45838.91667	dc=I
rtb.requests	1443448800	46666.12778	dc=I
rtb.requests	1443449160	44445.00833	dc=I
rtb.requests	1443449520	45415.25556	dc=I
rtb.requests	1443449880	45536.42222	dc=I
rtb.requests	1443450240	44824.98889	dc=I
rtb.requests	1443450600	47948.33056	dc=I
rtb.requests	1443450960	48531.875	dc=I
rtb.requests	1443451320	48964.07222	dc=I
rtb.requests	1443451680	48648.31111	dc=I
rtb.requests	1443452040	48946.64722	dc=I
rtb.requests	1443452400	48911.64444	dc=I
rtb.requests	1443452760	47878.94444	dc=I
rtb.requests	1443453120	48852.80556	dc=I
rtb.requests	1443453480	48894.50556	dc=I
rtb.requests	1443453840	49335.94167	dc=I
rtb.requests	1443454200	50663.86667	dc=I
rtb.requests	1443454560	50311.49444	dc=I
rtb.requests	1443454920	50776.56111	dc=I
rtb.requests	1443455280	50518.30278	dc=I
rtb.requests	1443455640	50963.72778	dc=I
rtb.requests	1443456000	51928.66667	dc=I
rtb.requests	1443456360	49613.44167	dc=I
rtb.requests	1443456720	50183.86944	dc=I
rtb.requests	1443457080	-1630442.511	dc=I
rtb.requests	1443457440	34375.98472	dc=I
rtb.requests	1443457800	53960.12963	dc=I
rtb.requests	1443458160	59787.71944	dc=I
rtb.requests	1443458520	59048.58333	dc=I
rtb.requests	1443458880	58665.50556	dc=I
rtb.requests	1443459240	59610.84444	dc=I
rtb.requests	1443459600	58476.01667	dc=I
rtb.requests	1443459960	57845.52778	dc=I
rtb.requests	1443460320	57221.725	dc=I
rtb.requests	1443460680	59112.97778	dc=I
rtb.requests	1443461040	59266.38889	dc=I
rtb.requests	1443461400	58758.71111	dc=I
rtb.requests	1443461760	59082.38889	dc=I
rtb.requests	1443462120	58200.53333	dc=I
rtb.requests	1443462480	57775.37778	dc=I
rtb.requests	1443462840	55914.83611	dc=I
rtb.requests	1443463200	59704.08889	dc=I
rtb.requests	1443463560	57012.57222	dc=I
rtb.requests	1443463920	61526.57778	dc=I
rtb.requests	1443464280	57483.49444	dc=I
rtb.requests	1443464640	58805.36667	dc=I
rtb.requests	1443465000	59840.22778	dc=I
rtb.requests	1443465060	58198.03849	dc=I
rtb.requests	1443465120	58962.99405	dc=I
rtb.requests	1443465360	57434.84437	dc=I
rtb.requests	1443465420	58832.08236	dc=I
rtb.requests	1443465480	59355.21222	dc=I
rtb.requests	1443465720	58045.36111	dc=I
rtb.requests	1443465780	58097.79444	dc=I
rtb.requests	1443465840	58327.5	dc=I
